,direction_of_climbing,climbing_speed,stepphase_FR,stepphase_FL,stepphase_HR,stepphase_HL,stride-length_FR,stride-length_FL,stride-length_HR,stride-length_HL,dynamics_FR,dynamics_FL,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL
0,b'UP',2009.0,b'stance0000',b'stride0001',b'stance0000',b'stride0001',,237.38588482846922,,2.207941967633042,,1.525941624638651,,23.025764457778468,,,,
1,b'UP',2009.0,b'stance0000',b'stride0001',b'stance0000',b'stride0001',,237.38588482846922,,2.207941967633042,,32.23359989134423,,163.15084081788413,,,,
2,b'UP',2009.0,b'stance0000',b'stride0001',b'stance0000',b'stride0001',,237.38588482846922,,2.207941967633042,,6.00374317710347,,127.70576405099122,,,,
3,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stride0001',,237.38588482846922,126.36346216458715,2.207941967633042,,172.76985525242787,84.85314551371202,96.59570773130869,,,,
4,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stance0001',,237.38588482846922,126.36346216458715,,,137.11004423325284,3.519168482645667,,,,,207.20401912356832
5,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stance0001',,237.38588482846922,126.36346216458715,,,11.192639278445824,120.68651776304439,,,,,207.20401912356832
6,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stance0001',,237.38588482846922,126.36346216458715,,,104.78294305364078,110.7334228757995,,,,,207.20401912356832
7,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stance0001',,237.38588482846922,126.36346216458715,,,96.3267401090156,92.40100920271753,,,,,207.20401912356832
8,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stance0001',,237.38588482846922,126.36346216458715,,,75.95034057566576,69.52744175429198,,,,,207.20401912356832
9,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stance0001',,237.38588482846922,126.36346216458715,,,64.81194372190534,51.44581934361319,,,,,207.20401912356832
10,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stride0002',,237.38588482846922,126.36346216458715,3.350694557213796,,46.21804032830867,37.198803841191506,99.77712231897345,,,,
11,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stride0002',,237.38588482846922,126.36346216458715,3.350694557213796,,41.1767994684651,29.057178782264057,116.2345663811512,,,,
12,b'UP',2009.0,b'stance0000',b'stride0001',b'stride0001',b'stride0002',,237.38588482846922,126.36346216458715,3.350694557213796,,39.972237532454685,19.414861525137013,123.2401615034912,,,,
13,b'UP',2009.0,b'stance0000',b'stride0001',b'stance0001',b'stance0002',,237.38588482846922,,,,43.3671950699271,,,,,103.63436747273407,
14,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0003',238.6022857821812,,,0.0,158.13275362914467,,,137.2415556467296,,71.9063501594804,103.63436747273407,
15,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stance0003',238.6022857821812,,,,154.4849433827457,,,,,71.9063501594804,103.63436747273407,
16,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,152.75677756149534,,,126.44069791624933,,71.9063501594804,103.63436747273407,
17,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,138.18575946122291,,,111.48230451861299,,71.9063501594804,103.63436747273407,
18,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,134.72686694375622,,,100.30796063080761,,71.9063501594804,103.63436747273407,
19,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,122.16982019345154,,,83.6777502547033,,71.9063501594804,103.63436747273407,
20,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,108.02145982369173,,,63.652880425221994,,71.9063501594804,103.63436747273407,
21,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,87.72524021775503,,,57.25026834776654,,71.9063501594804,103.63436747273407,
22,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,76.70235724157166,,,46.125362822091155,,71.9063501594804,103.63436747273407,
23,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,66.81450200153657,,,37.10298721885021,,71.9063501594804,103.63436747273407,
24,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,60.10276319548141,,,28.73483560942737,,71.9063501594804,103.63436747273407,
25,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,56.70183795389267,,,16.897374682147746,,71.9063501594804,103.63436747273407,
26,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stride0004',238.6022857821812,,,199.1201596165881,51.2330774848748,,,19.842150443004314,,71.9063501594804,103.63436747273407,
27,b'UP',2009.0,b'stride0001',b'stance0001',b'stance0001',b'stance0004',238.6022857821812,,,,59.23316194496996,,,,,71.9063501594804,103.63436747273407,158.41980961659598
28,b'UP',2009.0,b'stride0001',b'stride0002',b'stride0002',b'stance0004',238.6022857821812,242.59499690172095,241.59587954482245,,57.43790265951969,167.06825036630596,140.0441030678907,,,,,158.41980961659598
29,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,156.46210551368,132.16412980772893,,22.784750223558916,,,158.41980961659598
30,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,146.43872723362745,129.36977476879028,,22.784750223558916,,,158.41980961659598
31,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,145.2995823386877,119.42753139265992,,22.784750223558916,,,158.41980961659598
32,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,133.74501667322232,97.34771211686984,,22.784750223558916,,,158.41980961659598
33,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,123.25945188561668,82.77063408981529,,22.784750223558916,,,158.41980961659598
34,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,108.27416746335946,68.91412344795782,,22.784750223558916,,,158.41980961659598
35,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,87.03737113512949,58.81541042377451,,22.784750223558916,,,158.41980961659598
36,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,77.54970264470685,50.96478412836074,,22.784750223558916,,,158.41980961659598
37,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,66.7140814558746,45.31141008647974,,22.784750223558916,,,158.41980961659598
38,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,48.18518413364573,36.70529187519125,,22.784750223558916,,,158.41980961659598
39,b'UP',2009.0,b'stance0001',b'stride0002',b'stride0002',b'stance0004',,242.59499690172095,241.59587954482245,,,38.96590634052625,27.1054069904376,,22.784750223558916,,,158.41980961659598
40,b'UP',2009.0,b'stride0002',b'stride0002',b'stride0002',b'stride0005',236.20688495070988,242.59499690172095,241.59587954482245,248.39823727379112,163.48777522878578,38.27838277010476,13.363457548377768,141.37213469360887,,,,
41,b'UP',2009.0,b'stride0002',b'stride0002',b'stance0002',b'stride0005',236.20688495070988,242.59499690172095,,248.39823727379112,165.13308705300824,46.64464728158209,,146.03981249455492,,,99.64709854620291,
42,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,158.1317990837308,,,145.61080471662754,,77.55528650650545,99.64709854620291,
43,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,155.85947637042264,,,136.0064988123092,,77.55528650650545,99.64709854620291,
44,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,149.167484019256,,,124.46433214401422,,77.55528650650545,99.64709854620291,
45,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,137.68228775588634,,,110.92565853438508,,77.55528650650545,99.64709854620291,
46,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,128.9353045468167,,,103.25915124764342,,77.55528650650545,99.64709854620291,
47,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,117.61545333616208,,,89.39671555661128,,77.55528650650545,99.64709854620291,
48,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,101.51138746807199,,,76.29814816738264,,77.55528650650545,99.64709854620291,
49,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,89.13229783687817,,,62.67242899317653,,77.55528650650545,99.64709854620291,
50,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,82.58127361932969,,,50.517510010756034,,77.55528650650545,99.64709854620291,
51,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,65.1649544786322,,,38.28832256282965,,77.55528650650545,99.64709854620291,
52,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,55.264625167023375,,,31.351637692795506,,77.55528650650545,99.64709854620291,
53,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,48.78899006986259,,,25.4449352502071,,77.55528650650545,99.64709854620291,
54,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,46.51652497337589,,,20.187843214173864,,77.55528650650545,99.64709854620291,
55,b'UP',2009.0,b'stride0002',b'stance0002',b'stance0002',b'stride0005',236.20688495070988,,,248.39823727379112,47.77789258931271,,,14.696492014608378,,77.55528650650545,99.64709854620291,
